date,open,high,low,close,volume,oi
08/04/1992,1018.3,1036.33,1016.16,1035.63,52472,0
08/05/1992,1015.76,1038.3,1011.66,1012.55,61146,0
08/06/1992,988.38,1010.76,983.22,1002.17,72555,0
08/07/1992,1003.22,1006.11,995.71,1005.23,78256,0
08/10/1992,992.73,1006.64,956.55,964.09,81781,0
08/11/1992,926.81,961.61,797.6,863.41,106999,0
08/12/1992,675,843.3,627.36,781.21,144831,0
08/13/1992,797.17,890.06,745.62,850.94,115594,0
08/14/1992,857.1,900.51,818.12,858.38,104407,0
08/17/1992,898.66,940.76,858.38,939.46,113357,0
08/18/1992,954.89,999.69,921.98,933.44,148494,0
08/19/1992,920.66,951.16,888.23,939.51,75952,0
08/20/1992,930.7,946.73,918.65,932.32,160565,0
08/21/1992,916.99,938.37,912.89,916.25,170567,0
08/24/1992,888.95,920.85,881.33,884.1,99347,0
08/25/1992,868.1,887.49,848.05,849.57,84662,0
08/26/1992,841.42,877.25,827.36,877.25,126153,0
08/27/1992,874.75,880.02,861.64,863.77,54258,0
08/28/1992,851.6,866.98,825.01,848.2,74884,0
08/31/1992,833.5,848.4,823.02,823.27,54296,0
09/01/1992,826.96,832.84,807.37,824.96,78694,0
09/02/1992,803.83,826.68,783.96,787.67,93924,0
09/03/1992,749.22,781.33,742.74,764.11,163730,0
09/04/1992,759.54,776.18,749.46,753.58,98772,0
09/07/1992,745.69,788.15,700.79,702.83,87105,0
09/08/1992,653.36,702.83,595.42,640.12,100634,0
09/09/1992,613.44,643.77,608.06,635.74,111908,0
09/10/1992,643.21,695.18,622.01,692.78,113109,0
09/11/1992,773.22,789.18,719.39,776.29,117294,0
09/14/1992,762.82,793.36,714.93,734.98,137270,0
09/15/1992,727.11,751.22,694.32,738.16,119373,0
09/16/1992,762.29,776.68,738.16,769.04,143926,0
09/17/1992,770.65,779.56,751.08,761.72,94181,0
09/18/1992,715.89,761.72,715.89,754.4,61707,0
09/21/1992,740.97,760.13,730.3,733.44,81728,0
09/22/1992,730.71,736.9,716.23,722.7,69552,0
09/23/1992,719.41,725.59,708.5,712.37,65590,0
09/24/1992,720.51,735.49,709.63,730.57,77787,0
09/25/1992,730.28,735.75,723.56,729.79,76536,0
09/28/1992,724.45,729.79,721.19,724.7,42557,0
09/29/1992,719.99,728.42,707.82,710.63,64830,0
09/30/1992,703.63,710.63,698.91,702.32,89778,0
10/05/1992,676.47,702.32,668.9,679.62,94116,0
10/06/1992,682.92,692.62,664.27,674.24,71613,0
10/07/1992,676.56,676.84,664.43,665.26,53830,0
10/08/1992,648.96,671.67,640.22,643.69,84532,0
10/09/1992,664.44,668.73,643.68,660.29,93947,0
10/12/1992,687.45,713.77,661.99,690.57,110752,0
10/13/1992,694.1,701.3,669.56,673.99,112238,0
10/14/1992,661.07,673.94,648.84,663.75,105525,0
10/15/1992,654.33,667,650.92,663.53,75758,0
10/16/1992,664,668.57,661.2,664.75,68851,0
10/19/1992,643.8,667.46,632.4,632.4,81039,0
10/20/1992,634.43,663.65,604.5,616.29,94609,0
10/21/1992,597.15,616.29,577.23,585.7,91927,0
10/22/1992,557.03,584.91,535.79,539.8,138728,0
10/23/1992,534.41,577.52,524.07,559.73,114981,0
10/26/1992,539.5,561.5,504.81,506.94,125657,0
10/27/1992,465.75,506.28,448.28,450.28,141388,0
10/28/1992,466.73,470.98,447.93,463.21,116311,0
10/29/1992,468.72,484.51,455.22,484.25,124059,0
10/30/1992,494.66,507.25,484.45,507.25,146510,0
11/02/1992,471.18,508.81,465.55,477.61,126226,0
11/03/1992,481.34,487.07,465.6,479.81,125543,0
11/04/1992,474.82,481.6,465.09,469.9,128590,0
11/05/1992,460.96,470.89,457.03,462.63,95464,0
11/06/1992,460.54,468.59,455.73,457.05,73791,0
11/09/1992,439.81,459.04,424.68,428.61,95622,0
11/10/1992,404.49,428.34,391.17,400.53,124661,0
11/11/1992,402.79,410.16,388.32,410.16,104914,0
11/12/1992,408.42,416.22,402.33,415.79,121120,0
11/13/1992,418.49,421.67,413.3,414.09,116763,0
11/16/1992,402.02,415.64,397.63,399.32,107074,0
11/17/1992,390.09,399.08,386.85,393.52,100762,0
11/18/1992,400.01,407.61,389.59,407.61,93285,0
11/19/1992,409.61,412.23,395.16,398.95,115030,0
11/20/1992,394.9,401.44,394.31,401.44,86477,0
11/23/1992,404.05,410.57,401.82,410.39,133314,0
11/24/1992,414.84,448.44,410.81,440.04,175095,0
11/25/1992,485.16,571.63,441.54,571.63,302928,0
